question_id,status,audio_path,question,duration_seconds,clipped_sample_count,leading_silence_seconds,trailing_silence_seconds,warning_reasons
tc_517,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/tc_517_c7740d267020.wav,Who was the last inmate of Spandau jail in Berlin?,2.72,0,0.0815,0.08466666666666667,
tc_690,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/tc_690_101a586c4c51.wav,"""According to Rudyard Kipling what were the """"two imposters"""" to meet and treat the same day?""",5.28,0,0.08458333333333333,0.043458333333333335,
tc_955,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/tc_955_745ff35efd93.wav,Bandar Seri Begawan International airport is in which country?,4.08,0,0.10175,0.0695,
tc_1098,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/tc_1098_f21d66803ac9.wav,Beloved in 1999 was whose first movie since The Color Purple in 1985?,5.52,0,0.093125,0.005791666666666666,
tc_1189,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/tc_1189_2bacf6c0382c.wav,What was the name of the brothel in The Best Little Whorehouse in Texas?,3.92,0,0.092,0.0,
tc_1284,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/tc_1284_70f689d6a7f8.wav,On which date in 1945 did Hitler take cyanide then shoot himself?,4.88,0,0.09066666666666667,0.055375,
tc_1348,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/tc_1348_6ed5085c4ec3.wav,In the late 60s Owen Finlay MacLaren pioneered what useful item for parents of small chldren?,6.16,0,0.09345833333333334,0.04325,
tc_1421,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/tc_1421_63456be39ac3.wav,What is Harrison Ford's real name?,2.0,0,0.092125,0.07266666666666667,
tc_1870,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/tc_1870_010b59635b31.wav,Vehicles from which country use the international registration letter E?,4.4,0,0.08225,0.05329166666666667,
tc_1914,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/tc_1914_f44b03dd7ef1.wav,Sun Yat Sen overthrew the emperor in which country establishing a republic after 2000 years of imperial rule?,8.48,0,0.081375,0.07291666666666667,
tc_1944,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/tc_1944_628f9e437f24.wav,Aung San Suu Kyi is a controversial leader in which country?,3.52,0,0.090125,0.052333333333333336,
tc_2202,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/tc_2202_f40e8a842f86.wav,What are the international registration letters of a vehicle from Iceland?,3.76,0,0.09070833333333334,0.067625,
tc_2861,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/tc_2861_507aeeb90958.wav,What is the generic word for plants that grow in water or water-logged conditions?,4.96,0,0.08154166666666667,0.049541666666666664,
tc_2900,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/tc_2900_569db2baf28b.wav,"Which teeth are the third molars, and are always the last to0 erupt?",4.64,0,0.097625,0.042,
tc_3070,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/tc_3070_9107cfef36fd.wav,"Which common mineral is used to make casts, moulds, blackboard chalk and plaster of Paris?",5.76,0,0.09554166666666666,0.010958333333333334,
qz_20,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/qz_20_81bce107894b.wav,Which three South American countries does the Equator cross?,3.76,0,0.097875,0.016041666666666666,
qz_256,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/qz_256_c88f65c8fdfb.wav,In what year in the 20th century was the Miss World contest held for the first time?,4.8,0,0.09366666666666666,0.007333333333333333,
qz_737,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/qz_737_2e9407d04128.wav,"Who directed the films Thelma and Louise, Hannibal and Black Hawk Down?",4.96,0,0.08154166666666667,0.043833333333333335,
qz_881,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/qz_881_a3faa64777e2.wav,How many scottish football league teams names end in United?,3.84,0,0.08154166666666667,0.07079166666666667,
qz_1173,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/qz_1173_52a388e29ffb.wav,In which film was the song White Christmas first sung?,3.04,0,0.0935,0.08608333333333333,
qz_1380,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/qz_1380_67984d88d16c.wav,"In a standard deck of cards, how many Kings have a moustache?",3.92,0,0.08916666666666667,0.06391666666666666,
qz_1725,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/qz_1725_0d56e69c55d7.wav,Who dated actress Elizabeth Hurley between 2000 and 2001 and denied he was the father of her son born in 2002 before a DNA test proved otherwise?,11.6,0,0.08245833333333333,0.052875,
qz_2111,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/qz_2111_9206aa204725.wav,The Yalu river forms a sort of natural border between China and which of its neighbours?,6.16,0,0.088125,0.06104166666666667,
qz_2291,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/qz_2291_f6f2d4f48212.wav,How meny times have Liverpool won the Europion Cup?,3.2,0,0.08158333333333333,0.07095833333333333,
qz_2391,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/qz_2391_81d9c3074682.wav,Who was the first person to sell one million records?,2.8,0,0.08154166666666667,0.050875,
qz_2404,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/qz_2404_5862c344aa26.wav,What is the scientific name given to tea?,2.48,0,0.084375,0.013375,
qz_2768,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/qz_2768_257c8c7ebbcd.wav,Tony Hadley was the lead singer with which 1980s new romantic band?,4.4,0,0.08154166666666667,0.010625,
qz_2821,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/qz_2821_a730a2292e90.wav,"In which country are the Angel Falls, the highest waterfall in the world?",4.64,0,0.089875,0.023083333333333334,
qz_2866,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/qz_2866_bc4fac94484a.wav,"The left side of the heart pumps blood to all parts of the body, but the right side pumps blood to which organ in particular?",8.08,0,0.083375,0.026333333333333334,
qz_3878,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/qz_3878_80ef2f400bea.wav,"If you heard the catchphrase ""They're great"" what would expect to be advertised?",4.8,0,0.09504166666666666,0.034958333333333334,
qz_4002,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/qz_4002_e2bc06642987.wav,"How were Dr Stantz, Dr Spengler and Dr Venkman better known in the 1980's?",6.08,0,0.08241666666666667,0.012,
qz_4637,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/qz_4637_d8ccd0bdfba4.wav,"How long does it take, approximately, for light to travel from the Sun to the Earth?",4.64,0,0.08154166666666667,0.065375,
qz_4787,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/qz_4787_f6c9ce490e4f.wav,A cowboy came into town on friday stayed 3 days and left on friday. How is this possible?,5.68,0,0.08904166666666667,0.04883333333333333,
